"state","region","population","median_income","median_rent","poverty_rate","immigrant_share"
"Alabama","South",5028092,59609,925,0.210627531252712,0.0352433885457943
"Alaska","West",734821,86370,1345,0.121749464895995,0.0790314920232274
"Arizona","West",7172282,72581,1308,0.169381648494447,0.130496820956008
"Arkansas","South",3018669,56335,868,0.214889701348985,0.0502807694384512
"California","West",39356104,91905,1856,0.15080918300121,0.265343337846653
"Colorado","West",5770790,87598,1594,0.106675752977669,0.0948920338463191
"Connecticut","Northeast",3611317,90213,1374,0.12712434714844,0.150350689236088
"Delaware","South",993635,79325,1286,0.164121606658186,0.0978457884434425
"District of Columbia","South",670587,101722,1817,0.211741351427667,0.134353931704611
"Florida","South",21634529,67917,1444,0.169355489947195,0.211441256705889
"Georgia","South",10722325,71355,1221,0.180140261288291,0.104395828330143
"Hawaii","West",1450589,94814,1868,0.118265338449083,0.180181981250375
"Idaho","West",1854109,70214,1061,0.120639554964057,0.0573919872024784
"Illinois","Midwest",12757634,78433,1179,0.150571111485779,0.141458910014192
"Indiana","Midwest",6784403,67173,967,0.153426478315972,0.0557063016451116
"Iowa","Midwest",3188836,70571,914,0.123868114527156,0.0559881411273581
"Kansas","Midwest",2935922,69747,986,0.133124087853195,0.0706047367743421
"Kentucky","South",4502935,60183,902,0.1993576337823,0.0408864440637051
"Louisiana","South",4640546,57852,996,0.250035987040722,0.0423810043042349
"Maine","Northeast",1366949,68251,1009,0.12908900682591,0.0379728870645503
"Maryland","South",6161707,98461,1598,0.113367712696242,0.156715987955935
"Massachusetts","Northeast",6984205,96505,1588,0.112456236811943,0.17580325892496
"Michigan","Midwest",10057921,68505,1037,0.172065274370222,0.0690858478606066
"Minnesota","Midwest",5695292,84313,1178,0.102634483779497,0.0846176104754594
"Mississippi","South",2958846,52985,896,0.261200580153675,0.0230687910083864
"Missouri","Midwest",6154422,65920,957,0.158639485074933,0.0419538991638857
"Montana","West",1091840,66341,974,0.140426691043736,0.0226342687573271
"Nebraska","Midwest",1958939,71722,987,0.113126537281521,0.0750074402520956
"Nevada","West",3104817,71646,1382,0.162277393077234,0.190759390972157
"New Hampshire","Northeast",1379610,90845,1336,0.077681647465579,0.060428671871036
"New Jersey","Northeast",9249063,97126,1577,0.127899673933075,0.231942954653893
"New Mexico","West",2112463,58722,966,0.234865601958349,0.0919874099570028
"New York","Northeast",19994379,81386,1507,0.175133051444859,0.225510179635987
"North Carolina","South",10470214,66186,1093,0.178155791877651,0.0828966819589361
"North Dakota","Midwest",776874,73959,912,0.105383412835211,0.0463691666859748
"Ohio","Midwest",11774683,66990,945,0.17527926908441,0.0486097162870542
"Oklahoma","South",3970497,61364,934,0.196242871142204,0.0614613233557411
"Oregon","West",4229374,76632,1373,0.127857808268195,0.0976414003585401
"Pennsylvania","Northeast",12989208,73170,1110,0.154475236377078,0.0725067302024881
"Rhode Island","Northeast",1094250,81370,1195,0.136164114940795,0.144172721041809
"South Carolina","South",5142750,63623,1065,0.195185238715585,0.0525341500170142
"South Dakota","Midwest",890342,69457,878,0.139200853792906,0.0382920271086841
"Tennessee","South",6923772,64035,1047,0.183407941636799,0.0542626186997492
"Texas","South",29243342,73035,1251,0.187910968897132,0.170563781663532
"Utah","West",3283809,86833,1302,0.0843418639790693,0.0840520870732737
"Vermont","Northeast",643816,74014,1149,0.104958811468038,0.0438494849460094
"Virginia","South",8624511,87249,1440,0.120914355942008,0.126338177318111
"Washington","West",7688549,90325,1592,0.113841281868454,0.148718308226949
"West Virginia","South",1792967,55217,831,0.215511414496319,0.0161408436407363
"Wisconsin","Midwest",5882128,72458,992,0.126570951058706,0.0502143101952219
"Wyoming","West",577929,72495,933,0.117718814280931,0.0341841298844668
